sold_price_eur,asking_price_eur,bed_no,bath_no,size,house_type,region,detached,semi_d,terrace,apartment,dublin,cork,galway,dub_inner_ring,dub_outer_ring,urban_south,other
221000,200000,3,2,96,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
800000,640000,3,1,118,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
683000,575000,3,3,142,Detached,cork,1,0,0,0,0,1,0,0,0,0,0
393000,359000,3,2,80,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
245000,245000,3,2,81,Terrace,dub_inner_ring,0,0,1,0,0,0,0,1,0,0,0
180000,180000,3,3,92,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
700000,695000,4,4,130,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
660000,645000,5,4,177,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
601065,595000,3,1,102,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
587500,575000,4,2,165,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
450000,395000,3,2,73,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
440000,460000,3,1,90,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
244000,215000,2,2,NA,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
215000,220000,3,3,NA,Detached,galway,1,0,0,0,0,0,1,0,0,0,0
82000,80000,3,1,88,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
525000,525000,4,2,140,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
505000,475000,3,1,83,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
410000,398000,3,3,92,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
401000,395000,3,2,74,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
201500,205000,3,3,118,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
200000,200000,2,2,81,Terrace,dub_outer_ring,0,0,1,0,0,0,0,0,1,0,0
152000,130000,2,1,77,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
960000,950000,5,2,167,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
385000,350000,3,1,87,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
361000,345000,4,3,148,Semi-D,urban_south,0,1,0,0,0,0,0,0,0,1,0
300000,275000,5,1,96,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
260000,255000,2,1,86,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
855400,925000,4,5,257,Detached,other,1,0,0,0,0,0,0,0,0,0,1
672000,625000,4,3,150,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
285000,290000,3,2,90,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
175000,175000,3,3,95,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
464000,485000,2,2,77,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
420000,375000,3,2,114,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
390000,390000,2,2,72,Apartment,cork,0,0,0,1,0,1,0,0,0,0,0
675000,620000,2,2,90,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
542000,525000,3,2,106,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
405000,380000,3,4,134,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
257000,249000,4,2,168,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
245000,245000,3,3,106,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
180000,180000,3,3,88,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
675000,675000,4,1,117,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
452000,450000,4,1,95,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
418502,550000,4,3,134,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
400000,375000,3,1,100,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
245000,245000,3,1,75,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
142000,150000,2,2,67,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
660000,650000,4,4,144,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
281500,280000,4,3,130,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
165000,145000,3,3,82,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
650000,650000,4,3,145,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
600000,575000,2,3,105,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
3000000,2950000,5,5,487,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
450000,485000,6,4,201,Detached,other,1,0,0,0,0,0,0,0,0,0,1
350000,295000,3,3,NA,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
305000,319000,4,3,150,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
265000,250000,4,1,128,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
255000,245000,2,1,60,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
248000,230000,3,1,98,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
234000,270000,4,2,NA,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
168000,185000,2,1,65,Apartment,cork,0,0,0,1,0,1,0,0,0,0,0
110000,140000,3,1,NA,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
1175000,1175000,5,2,204,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
1080000,1125000,4,2,124,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
1000000,795000,4,3,142,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
590000,625000,5,3,196,Detached,urban_south,1,0,0,0,0,0,0,0,0,1,0
491000,525000,4,3,126,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
420000,375000,3,2,118,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
300000,395000,3,1,77,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
